,reviewText,overall,Sentiment,review
441,Works great with phone n wonderfull sound with clear voice over mic. I just go through them way to quick.,5.0,1,works great phone n wonderfull sound clear voice mic go way quick
442,I really like these ear pods but the cords/wiring is easily damaged internally. I bought a different hard case for storage so I don't struggle with putting them away in the case they come with.,5.0,1,really like ear pods cordswiring easily damaged internally bought different hard case storage dont struggle putting away case come
443,Until I got these the old style earbuds and others I had tried kept falling out of my ears and were difficult to use without holding them in.  This design works great. The delivery was as promised. On time and usability on target!,5.0,1,got old style earbuds others tried kept falling ears difficult use without holding design works great delivery promised time usability target
444,the headphones are good but i believe they shouldn't called them &#34;apple earpods&#34; because they lack of quality with the originals,3.0,0,headphones good believe shouldnt called lack quality originals
445,"The design is very nice, the quality extremely good and in first impression it fits right on the ear, but mine is not probably one of the 150.000 that Apple studies to make this EarPods. It falls in some situations.It sounds great. I am not that kind of person that &#34;decode&#34; every human earable frequency, but for me the sound quality is excellent. It doesn't isolate you from the world and that's nice in some situations (at work or driving), but if you want to escape from the noise around you, maybe you have to choose some in-ear.The remote is kind of big, but the round shape is very confortable to use.Overall a great product from Apple.",4.0,1,design nice quality extremely good first impression fits right ear mine probably one apple studies make earpods falls situationsit sounds great kind person every human earable frequency sound quality excellent doesnt isolate world thats nice situations work driving want escape noise around maybe choose inearthe remote kind big round shape confortable useoverall great product apple
446,"These were very nice headphones, however the wiring started showing after a week. One of the earbuds went out soon after.",3.0,0,nice headphones however wiring started showing week one earbuds went soon
447,"Not a fan of the side specific EarPods.  you HAVE to use the speaker in your right ear...  I typically use this in my left ear so I can chat with others in the car, it closes off opportunities for switching ears.",3.0,0,fan side specific earpods use speaker right ear typically use left ear chat others car closes opportunities switching ears
448,"Prior to purchasing these earpods I had not been able to tolerate wearing earbuds for more than 20 minutes or so. they were always either too big and pinched on my ear or were too small and fell out all the time. These earpods stay where they belong and are shaped so well to sit in the ear without putting pressure on ear structures. The sound quality is fantastic for the price and they cancel external noise very well. When wearing them at the gym I can't hear the gym's tv, music, or the person puffing away next to me on the cardio equipment. I have listened to my ipod more in the month since I bought these than I have in the 6 months prior to their purchase. My husband also got a pair and loves them as well, despite havng a weird ear canal d/t surgery and being hard of hearing. They are the only earpods he's ever had great success with, as well. Love them so much we bought an extra pair just to have on hand in case something happens to one of ours!",5.0,1,prior purchasing earpods able tolerate wearing earbuds minutes always either big pinched ear small fell time earpods stay belong shaped well sit ear without putting pressure ear structures sound quality fantastic price cancel external noise well wearing gym cant hear gyms tv music person puffing away next cardio equipment listened ipod month since bought months prior purchase husband also got pair loves well despite havng weird ear canal dt surgery hard hearing earpods hes ever great success well love much bought extra pair hand case something happens one
449,"I was very excited to receive these.I was expecting them to..Be fake but i was let downI opened them up and was like ;Damn these are the real deal!You feel just like the 30$$ ones and the buttons work just fine!After a little wear and tear, they one ear..stopped working..I do not recommend them to you and a friend.",1.0,0,excited receive thesei expecting tobe fake let downi opened like damn real dealyou feel like ones buttons work fineafter little wear tear one earstopped workingi recommend friend
450,These are the best earbuds I've ever listened to. They literally compare to some $200 sony over-the-ears that I tested out in the mall one time.,5.0,1,best earbuds ive ever listened literally compare sony overtheears tested mall one time
451,"Nice sound, good quality.Although a little loose when I am wearing it, I love it more than any others!",5.0,1,nice sound good qualityalthough little loose wearing love others
452,"BEST HEADPHONES EVER! Their so great that if they blow out, I will buy the same ones again! Great price, great buy!",5.0,1,best headphones ever great blow buy ones great price great buy
453,"I recently lost my iPhone 5 headphones and I was bummed because no headphones compare to these. Ordered the apple version in a heartbeat and they are tremendous! Great bass and good sound quality. Don't pay for the generic ones, pay a few extra dollars and get these! Also I ordered these last night and they were delivered in just over 12 hours without even paying for next day shipping! Love them.",5.0,1,recently lost iphone headphones bummed headphones compare ordered apple version heartbeat tremendous great bass good sound quality dont pay generic ones pay extra dollars get also ordered last night delivered hours without even paying next day shipping love
454,The sound quality and fit into the ear canal are superb.  For the cost I highly recommend purchasing these earpods. You will not be disappointed.,4.0,1,sound quality fit ear canal superb cost highly recommend purchasing earpods disappointed
455,"Apple has redesigned their headphone to direct the sound in your ear, must try,  has a great sound ,great Christmas present.",5.0,1,apple redesigned headphone direct sound ear must try great sound great christmas present
456,"Wonderful amplication. Very good quality and good but, I highly recommend them, very good just a pain to keep wrapping up.",5.0,1,wonderful amplication good quality good highly recommend good pain keep wrapping
457,"I am rating this pair of EarPods as an iPhone User.The old earphones from Apple were known to be really bad. The reason why I was using them was for the remote which was really convenient.Apple finally released new earphones and I believe it's very solid. The sound is dramatically better, while keeping the remote/mic.For 30$, it DOES the job. For sure, there are better earphones but they will be more expensive. For an iPhone/Pod user, I would definitely recommend this pair.I personally don't think the bass are too strong. The sound has a lot of depth and the quality is great.Definitely 5* for iPod/Phone users.3.5* for others i would say.======================02/25/2013: Update after 5 months.======================- I have been using a lot this earphone. No decrease in quality. (Some tend to have a ""clicking sound"" after a while).- No loss of sound due to the connector (well known issue for some earphone connectors... Bad contact after a while. So far, so goodI am very satisfied with this product! (I have had some sennheiser, sony and other earphones. They all broke after a couple months....)",5.0,1,rating pair earpods iphone userthe old earphones apple known really bad reason using remote really convenientapple finally released new earphones believe solid sound dramatically better keeping remotemicfor job sure better earphones expensive iphonepod user would definitely recommend pairi personally dont think bass strong sound lot depth quality greatdefinitely ipodphone others would update months using lot earphone decrease quality tend clicking sound loss sound due connector well known issue earphone connectors bad contact far goodi satisfied product sennheiser sony earphones broke couple months
458,"A personal thumbs-up for these things, I really love them. The sound quality is excellent, the basses are good and deep, and there's little sound bleed-out unless they're at top volume. The mic in the control has made itself very very useful; I can have a convo on the phone without having to put down my stitching or letting the computer sit idle. Yes, I know that's what Bluetooth is for, but I don't need to fuss about with a separate device, now, do I, which is good, because I hate that (which is why I don't have a separate iPod). The remote works great, and I don't have to take my iPhone out of my pocket when I'm listening to something in order to adjust volume or change the track. One serious advantage for me that I hadn't anticipated: they're comfortable enough that I can easily fall asleep wearing them (which means Bono sings me to sleep a lot--rather an intimate series of encounters for a man I've never actually met). I seem to always have them in, which is a testament to their comfort in that I often forget I'm even wearing them. My *only* fuss is that I can't blast them so loud that my eardrums break, but that's a good thing, I suppose. Damn safety feature.",5.0,1,personal thumbsup things really love sound quality excellent basses good deep theres little sound bleedout unless theyre top volume mic control made useful convo phone without put stitching letting computer sit idle yes know thats bluetooth dont need fuss separate device good hate dont separate ipod remote works great dont take iphone pocket im listening something order adjust volume change track one serious advantage hadnt anticipated theyre comfortable enough easily fall asleep wearing means bono sings sleep lotrather intimate series encounters man ive never actually met seem always testament comfort often forget im even wearing fuss cant blast loud eardrums break thats good thing suppose damn safety feature
459,Finally!  Earbuds that don't hurt and I can wear for a long time.  The remote is a great convenience too.,5.0,1,finally earbuds dont hurt wear long time remote great convenience
460,"These ear pods make music sound amazing, they really optimize the sound, the only reason I give it 4 stars instead of 5 is because they kind of hurt my ears if I wear them too long. I do have small ears so I can't fully blame the product. Other than that I enjoy them.",4.0,1,ear pods make music sound amazing really optimize sound reason give stars instead kind hurt ears wear long small ears cant fully blame product enjoy
461,"I purchased a set of these as a little thinking of you gift for my wife the other day and was so impressed that I almost immediately bought a second pair for myself. My impression is that you have almost a theater sound arrangement when you are listening to a higher quality piece.As an informal test, I pulled up an episode of Glee where Rachael and the dance instructor are doing the opening number from Chicago as a face-off. Every subtle sound was there including two leaks of NYC traffic picked up in two different directions in the background. I could tell that those background noises had been edit out as much as possible but the EarPods still allowed me to hear the slight traces that remained. Wish I had had these when I was doing video production.Are there better earphones out there? Dunno, don't really care. These are the best earphones/headphones I've ever used and I've used some pro equipment, so I'm pretty happy with these ingenious devices delivering great sound from my Apple devices.",5.0,1,purchased set little thinking gift wife day impressed almost immediately bought second pair impression almost theater sound arrangement listening higher quality pieceas informal test pulled episode glee rachael dance instructor opening number chicago faceoff every subtle sound including two leaks nyc traffic picked two different directions background could tell background noises edit much possible earpods still allowed hear slight traces remained wish video productionare better earphones dunno dont really care best earphonesheadphones ive ever used ive used pro equipment im pretty happy ingenious devices delivering great sound apple devices
462,"Good sound, comfortable and easy to manage. Everything I expected it to be. Loving the new sound in my ears.",4.0,1,good sound comfortable easy manage everything expected loving new sound ears
463,"I'm so disappointed in these ear phones. They broke within 2 wks of using them. The first couple of days, they worked fine. A week later the actual ear buds came apart! I put them back together. I started noticing that anyone I would talk to while using the earphones,.... they could never hear me clearly AT ALL! Just the other day the mic came apart. Can't put that back together. I will never purchase from that particular company thru Amazon. Looking for their info NOW.... To let them know!  Wish me luck!",1.0,0,im disappointed ear phones broke within wks using first couple days worked fine week later actual ear buds came apart put back together started noticing anyone would talk using earphones could never hear clearly day mic came apart cant put back together never purchase particular company thru amazon looking info let know wish luck
464,"The earbuds worked great the first month, but after that if the left side produced sound, the right side wouldn't. Be prepared to but another pair.",2.0,0,earbuds worked great first month left side produced sound right side wouldnt prepared another pair
465,"These earbuds have amazing sound quality, compared to the previous Apple versions and any other manufacturer I've tried. The only problem is one that's pretty typical with earbuds in general--one of them (just one, for some reason) still falls out of my ear when I run. Hard to fit for every ear, I guess. Overall, great improvement on a great product.",4.0,1,earbuds amazing sound quality compared previous apple versions manufacturer ive tried problem one thats pretty typical earbuds generalone one reason still falls ear run hard fit every ear guess overall great improvement great product
466,"these are good for the price i paid.  they do fit Much better then the apple earpods that came with my iphone and ipod.  I seem to have very small ear openings (i thought they were normal but the manufacturers do not think so)  and almost all others fall out constantly.  The dsound is good for me.  I have compared the sound to my kids Dr. Dre's and the apple earpods are just not in the same category but i do not use them for music that often, i listen out loud so this is perfect for someone like me",4.0,1,good price paid fit much better apple earpods came iphone ipod seem small ear openings thought normal manufacturers think almost others fall constantly dsound good compared sound kids dr dres apple earpods category use music often listen loud perfect someone like
467,"This item does not come in the orginal Apple packaging as if you purchased it at the Apple store. While it may still be a genuine Apple product (not certain), I was giving this as a gift and felt it should have all of the packaging intact. Cannot give any information on product performance as I did not open what packaging it did have. As I said, it was to have been a gift. I ended up purchasing the same item directly from Apple.",2.0,0,item come orginal apple packaging purchased apple store may still genuine apple product certain giving gift felt packaging intact give information product performance open packaging said gift ended purchasing item directly apple
468,"I previously used old apple ear phones. But this is way better than that. Remote button are very useful. I don't have to take out my iPad from my bag. I just plug this Apple EarPods and use wired remote to play/pause, next/previous, fast forward/backward and volume up/down.Additionally this remote works with my Galaxy Nexus too. But unfortunately, volume up/down doesn't work with it which is not big deal as phone has volume buttons.",5.0,1,previously used old apple ear phones way better remote button useful dont take ipad bag plug apple earpods use wired remote playpause nextprevious fast forwardbackward volume updownadditionally remote works galaxy nexus unfortunately volume updown doesnt work big deal phone volume buttons
469,"These sound great, but still are not comfortable. It only takes about 15 minutes until my ears hurt, just like the old version. I may have small ears though, so these might be great for dudes. But if you had issues with the old ones hurting, probably should avoid these.",3.0,0,sound great still comfortable takes minutes ears hurt like old version may small ears though might great dudes issues old ones hurting probably avoid
470,This is a Don't buy this item they are very poor quality form dealzip they are for sure a do not buy!!,1.0,0,dont buy item poor quality form dealzip sure buy
471,"When I first tried on the new earpods, I was surprised because there is so much surround sound and bass that it makes it feel as though you're listening to the music live or actually wearing high-quality headphones. Definitely better than the older generations and new design that fits in your ear. No rubber to flake off!",5.0,1,first tried new earpods surprised much surround sound bass makes feel though youre listening music live actually wearing highquality headphones definitely better older generations new design fits ear rubber flake
472,"The difference between this and my other headphone was that the audio quality was so much better. Even the Microphone quality was above average, maybe even higher.",5.0,1,difference headphone audio quality much better even microphone quality average maybe even higher
473,"I hate it, I should have paid attention to the previous reviews. I doesn't stay put in your ears at all, they kept falling, and I to make things worst the volume now doesn't work. For future buyers please don't waste your money, not worth IT!!!!",1.0,0,hate paid attention previous reviews doesnt stay put ears kept falling make things worst volume doesnt work future buyers please dont waste money worth
474,"They aren't beats or anything but the sound quality is decent. In particular, songs with deep bass sound much better than they do with apple's older version of headphones.",5.0,1,arent beats anything sound quality decent particular songs deep bass sound much better apples older version headphones
475,nice design that fits well in my ears.still like any other earplugs can not wear for really long time.Sounds great. Cant compare to Beats but hey they close.,4.0,1,nice design fits well earsstill like earplugs wear really long timesounds great cant compare beats hey close
476,"Amazing design. Earbuds have finally been perfected. The use of air holes in the speaker casings give an amazing amount of bass and creates a sound that is comparable to most over-ear headphones. Since buying these I have stopped considering to buy an extra over-ear pair of headphones for a better sound. I have had mine for six months and they are still good as new. This design holds up better than older Apple earbuds, they are also much more comfortable.",5.0,1,amazing design earbuds finally perfected use air holes speaker casings give amazing amount bass creates sound comparable overear headphones since buying stopped considering buy extra overear pair headphones better sound mine six months still good new design holds better older apple earbuds also much comfortable
477,this earphone has so good quality with this price.!!u guys must have this!!!!!!! i really recommend this item !,5.0,1,earphone good quality priceu guys must really recommend item
478,This is false advertising. Shouldn't this be illegal? Definitely not apple product. Amazon shouldn't carry this product- it's not what it's advertised to be. All that wait for a knock off product. I want my money back,1.0,0,false advertising shouldnt illegal definitely apple product amazon shouldnt carry product advertised wait knock product want money back
479,"Great sound from apple.  works fine in my ipod  but the controls do not work in my non apple phone,",3.0,0,great sound apple works fine ipod controls work non apple phone
480,"Great sound, great price, I couldn't ask for anything more... other than to not run them through the washer! Bought another pair.",5.0,1,great sound great price couldnt ask anything run washer bought another pair
481,"These are the best sounding earbuds I know of within this price range. Plus, they are practical for use at work or while exercising, because they are non-sealing and don't block out all the sound. Yet unlike almost every other non-sealing earbuds, they have decent bass. A lot of good engineering must have gone into this design.",5.0,1,best sounding earbuds know within price range plus practical use work exercising nonsealing dont block sound yet unlike almost every nonsealing earbuds decent bass lot good engineering must gone design
482,"Apple was smart to redesigning their earphones, but these are not so great. The sound quality could be better and after about an hour of wearing them they start to hurt the inside of your ears. You can find MUCH better earphones for the same price only thing good about it in my opinion is the mic, which you can find on almost any other earphone.",3.0,0,apple smart redesigning earphones great sound quality could better hour wearing start hurt inside ears find much better earphones price thing good opinion mic find almost earphone
483,"I can't stress enough just how good these headphones are. I was so against in-ear headphones due to all the other brands out there. NONE of them EVER fit right and because of this I have stayed away from them. BUT, these Apple Earpods are IMMACULATE!!!! They have WAY better sound than my $50 over ear headphones for half the price!!! The bass is just AMAZING! With these Earpods, the speaker sets into your ear a bit and this makes the bass rumble all through your head! I'm telling you right now that if you are buying these for you Iphone, YOU WILL NOT BE DISAPPOINTED! These headphones are also a headset. If you are jamming out to music and your phone starts to ring, all you have to do is tap the middle of the volume adjuster on the headphones. Same to hang up. 1 tap pauses the music, 2 skips the song, and just hold it to activate Siri! Again, I cannot stress how much I researched these and MANY other headphones and ended up getting these. THIS GUY IS A 100% SATISFIED CUSTOMER!!!",5.0,1,cant stress enough good headphones inear headphones due brands none ever fit right stayed away apple earpods immaculate way better sound ear headphones half price bass amazing earpods speaker sets ear bit makes bass rumble head im telling right buying iphone disappointed headphones also headset jamming music phone starts ring tap middle volume adjuster headphones hang tap pauses music skips song hold activate siri stress much researched many headphones ended getting guy satisfied customer
484,"I received these as a gift recently and was curious to see whether I could use them as back-up for when I forgot my main earbuds. After looking at reviews all over out of curiosity (determining whether to sell them), I decided to give them a shot. Unfortunately I made the wrong choice. In comparison to other earbuds at their price range, they're not horrible in the sound area, but the comfort leaves way too much to be desired.Sound:Apple has applied a better range of frequency to the product, enabling the bass to come through a bit more than prior default earbuds (received with an iPod, etc.), and more than some of their equal value competition, but still really doesn't impress. Even though it doesn't sound like it's overloading, much of the bass still comes through as more of a 'buzz' than real quality bass. The clarity is actually somewhat impressive however, enabling distinct instruments to be heard within a song. Being used to earbuds that are &#34;inserted&#34; in the ear and not &#34;hung&#34; on the ear, there is an obvious loss of sound isolation as outside sounds are able to reach your ear canal.Comfort:I have to disclaim that perhaps I'm just a bit biased in this category because I've never enjoyed earbuds that hang on my ear (again, rather than being inserted), but it's hard for me to fathom anyone enjoying that feeling. I guess it's just an acquired feel. Although I've given them many tries, I can't get used to the feeling that the earbuds are ready to fall out of my ear at any given moment--they're completely useless while running or being active in any capacity.So the only real kudos I can give these is for their 'not terrible sound' and potential comfort that don't mind hanging earbuds. For me though, they're pretty worthless.Credibility: many years comparative listening experience as an avid music lover and music artist/writer/engineer/producer.",2.0,0,received gift recently curious see whether could use backup forgot main earbuds looking reviews curiosity determining whether sell decided give shot unfortunately made wrong choice comparison earbuds price range theyre horrible sound area comfort leaves way much desiredsoundapple applied better range frequency product enabling bass come bit prior default earbuds received ipod etc equal value competition still really doesnt impress even though doesnt sound like overloading much bass still comes buzz real quality bass clarity actually somewhat impressive however enabling distinct instruments heard within song used earbuds ear ear obvious loss sound isolation outside sounds able reach ear canalcomforti disclaim perhaps im bit biased category ive never enjoyed earbuds hang ear rather inserted hard fathom anyone enjoying feeling guess acquired feel although ive given many tries cant get used feeling earbuds ready fall ear given momenttheyre completely useless running active capacityso real kudos give terrible sound potential comfort dont mind hanging earbuds though theyre pretty worthlesscredibility many years comparative listening experience avid music lover music artistwriterengineerproducer
485,"Like every other guy says  here,  I'm no audiophile.  I don't have headphones or earbuds that cost anywhere from three hundred dollars to well over a thousand.  I'm strictly a recreational/casual listener who would like a decent,  if affordably priced set of of buds.  I've  tried many in the low to mid range market,  including the often loathed Skull Candys, (Titan, Ink'd) JVC Marshmallows,  Sony, Sennheiser CX150's , and even a pair of Bose 's  supposedly higher end Mie2's.Well,  I'll tell you that these Apple buds stack up and beat all of those,  including the Bose buds,  which are around a hundred bucks.The base has just the right amount of punchiness,  without muddiness overwhelming anything.  Balanced base that sounds good on r&b;, hip hop,  rock or pop music.  The vocals are crisp,  and don't get drowned out by the rest of the sound that I noticed on the others -- yes,  even the Bose.  The treble --  undoubtedly the biggest negative in lower end earbuds --  is solid, with not a lot of distortion even with the volume maxed.The design of these new buds is great.  The rounded cone shape makes them extremely comfortable,  and the external speakers are located on the forward part entering the ear canal,  as well as a side port,  which according to Apple,  is supposed to improve sound onmid level tones,  as well as improve air flow for better overall sound quality.  Apple also improved the cable wrapping on the wires,  to reduce strain when pulling -- something notorious for easy breakage on their previous buds.The buds are more resistant to water and sweat,  too,  and can be used for moderate to heavy exercise.  I had no problems when using them for a 4 mile run.  These are not listed as noise canceling,  but do a good job blocking out external sounds.  They fit well in people with medium to large ears (can't tell you if they'll work for the small eared folks).  The microphone works as well as any other mic'd buds I've used.  One minor gripe:  I think Apple put  the mic and volume controls to close to the ear.  I like them lower on the cable for better access when running.All around,  I was very pleasantly surprised with these new buds.  They hold up well to any others in the price range,  and even managed to best my  $110.00 Bose Mie2's in overall sound quality,  making me all the more disappointed in Bose.  Just want good, inexpensive buds?  My advice: buy them.",4.0,1,like every guy says im audiophile dont headphones earbuds cost anywhere three hundred dollars well thousand im strictly recreationalcasual listener would like decent affordably priced set buds ive tried many low mid range market including often loathed skull candys titan inkd jvc marshmallows sony sennheiser even pair bose supposedly higher end ill tell apple buds stack beat including bose buds around hundred bucksthe base right amount punchiness without muddiness overwhelming anything balanced base sounds good rb hip hop rock pop music vocals crisp dont get drowned rest sound noticed others yes even bose treble undoubtedly biggest negative lower end earbuds solid lot distortion even volume maxedthe design new buds great rounded cone shape makes extremely comfortable external speakers located forward part entering ear canal well side port according apple supposed improve sound onmid level tones well improve air flow better overall sound quality apple also improved cable wrapping wires reduce strain pulling something notorious easy breakage previous budsthe buds resistant water sweat used moderate heavy exercise problems using mile run listed noise canceling good job blocking external sounds fit well people medium large ears cant tell theyll work small eared folks microphone works well micd buds ive used one minor gripe think apple put mic volume controls close ear like lower cable better access runningall around pleasantly surprised new buds hold well others price range even managed best bose overall sound quality making disappointed bose want good inexpensive buds advice buy
486,These are great for what they are.  They are a big improvement over the old standard Apple earbuds in terms of audio quality and fit (for me).  No matter how they try to spin it there is no &#34;one size fits all&#34; when it comes to earbuds.  Given that these are just $30 I am very happy with them.  And now listening to music with the same earbuds that I use in the car to listen to podcasts and talk on the phone is actually possible.  Before if I wanted to listen to anything other than a voice I would switch to different (much more expensive) earbuds.  Now I don't feel like I have to do that.  For my purposes that's a huge improvement.,5.0,1,great big improvement old standard apple earbuds terms audio quality fit matter try spin size fits comes earbuds given happy listening music earbuds use car listen podcasts talk phone actually possible wanted listen anything voice would switch different much expensive earbuds dont feel like purposes thats huge improvement
487,"Bought these because I was suprised at how not-like-my-ear many ear phones (including ones that came with my iPod). I have appreciated that the contour and the sound quality of these far exceed the originals. They do tend to fall out occasionally at inopportune times, and I find the case for winding the cord and pods up very cumbersome-think I'll just go back to winding the cord around my fingers and clipping to contain between uses.",4.0,1,bought suprised notlikemyear many ear phones including ones came ipod appreciated contour sound quality far exceed originals tend fall occasionally inopportune times find case winding cord pods cumbersomethink ill go back winding cord around fingers clipping contain uses
488,This works the same as the OEM product you get with an iPhone 5 but is 5 dollars cheaper than buying through Apple.  No brainer here.,5.0,1,works oem product get iphone dollars cheaper buying apple brainer
489,"They were not apple OEM. A knock off that didnt sound all that well. If you look at the cord at the base of the jack, there is no writing where it should be on the OEM headphones. Sound quality is very poor",1.0,0,apple oem knock didnt sound well look cord base jack writing oem headphones sound quality poor
490,They are really good ear phones and fit in my ear very nicely and don't have high highs and low lows.,4.0,1,really good ear phones fit ear nicely dont high highs low lows
491,"These work great with my iPhone. Nice build and quality, and I love that they don't use the typical rubber ear buds.",5.0,1,work great iphone nice build quality love dont use typical rubber ear buds
492,"Perfect condition. The new headphones sound fantastic, and they rarely fall out of my ear. Much more comfortable than the old ones. Way to go Apple!",5.0,1,perfect condition new headphones sound fantastic rarely fall ear much comfortable old ones way go apple
493,Bought this for the boyfriend and it worked just great! I didn't want to spend a fortune on ear pieces since he loses them quite a bit but this one worked great.,5.0,1,bought boyfriend worked great didnt want spend fortune ear pieces since loses quite bit one worked great
494,i purchased to use for the Samsung galaxy s3 but listening to music is fine but can't use the headphone to make a phone call. So weird,1.0,0,purchased use samsung galaxy listening music fine cant use headphone make phone call weird
495,"In the beginning the headphones worked well, but then after not using them for months one of the ear pieces stopped working.",3.0,0,beginning headphones worked well using months one ear pieces stopped working
496,"My review will be short. They are the best of any in the ear earphones I've ever used. The difference is hard to explain. There is a clarity that you seldom get from ear-buds. The treble is a little much, but this is easy to forgive since the bass is there in the perfect amount. You can't beat it for $25.  -Chris",5.0,1,review short best ear earphones ive ever used difference hard explain clarity seldom get earbuds treble little much easy forgive since bass perfect amount cant beat chris
497,"With all of the headphone products out on the market today, buyers have so many options.  But there is really no question that Apple offers the best technology for the price.  These ear pods are so much more comfortable than traditional ear buds.  The sound quality is good, but do not expect Bose quality for the price.  And when you are on the go, the remote is clutch.  5 stars.",5.0,1,headphone products market today buyers many options really question apple offers best technology price ear pods much comfortable traditional ear buds sound quality good expect bose quality price go remote clutch stars
498,"These are great earphones and are of good quality! One of the greatest advantages of these earpods over the old apple headphones is that it's more enduring; the old ones get destroyed if it touches water, for earpods you just have to shake out the water; this one is also more resistant to yanking of the lines as well.",5.0,1,great earphones good quality one greatest advantages earpods old apple headphones enduring old ones get destroyed touches water earpods shake water one also resistant yanking lines well
499,Never liked earphones. They fall out and the quality lacks. These sound EXCELLENT and hardly fall out of your ears. I'd recommend them to anyone. And works great with iPhone,5.0,1,never liked earphones fall quality lacks sound excellent hardly fall ears id recommend anyone works great iphone
500,good product best buy so far works great with my i phone 5 and its a good price and got to me fast,5.0,1,good product best buy far works great phone good price got fast
501,Cant beat the quality fort the price. Comfortable and light in your ear. I can only justify spending at most $30 on a set of ear buds so these definitely fit the bill.,4.0,1,cant beat quality fort price comfortable light ear justify spending set ear buds definitely fit bill
502,"Very impressive sound, very impressive price.  It even has hands free talking.  It has a lot of unexpected, really neat features for the talking function for the Iphone.",5.0,1,impressive sound impressive price even hands free talking lot unexpected really neat features talking function iphone
503,"Ive owned countless pairs of the old style Apple earbuds and never liked the way that they performed. This new design not only sounds clearer, has better low end response, but also stays in your ear much better than the old style did.For the price these are great but they are not comparable to more expensive sets.",4.0,1,ive owned countless pairs old style apple earbuds never liked way performed new design sounds clearer better low end response also stays ear much better old style didfor price great comparable expensive sets
504,i'm not sure whymy daughter wanted only these because I wanted to just buy her a cheap generic pair she swore by these ones and I bought them and they are they are not functioning properly so I have had to buy a normal generic pair just from the store after ordering and waiting for these to come in the mail. Not to happy.,1.0,0,im sure whymy daughter wanted wanted buy cheap generic pair swore ones bought functioning properly buy normal generic pair store ordering waiting come mail happy
505,These little earpods can pack a lot of punch becuase of apple's billion dollar study on acoustics and sound amplification.Bass: better than your average headphonesQuality: better than your average headphonesLoudness: very loud despite the little sound leakage (you can blast music in a library with these)Comfort: superb! The most comfortable earbuds I've have encountered.,5.0,1,little earpods pack lot punch becuase apples billion dollar study acoustics sound amplificationbass better average headphonesquality better average headphonesloudness loud despite little sound leakage blast music library thesecomfort superb comfortable earbuds ive encountered
506,"This item was delivered promptly, however, were quickly returned due to the overall size of the earplug. They were unccomfortable and did not fit well in the ear.",2.0,0,item delivered promptly however quickly returned due overall size earplug unccomfortable fit well ear
507,these headphones fit perfectly and they are also loud. I like that it has a way for you to turn the volume up or down on the headphones.,5.0,1,headphones fit perfectly also loud like way turn volume headphones
508,If you're somebody who uses your iPhone earbuds a lot make sure you buy official Apple brand earbuds if you buy OEM knockoffs they truly suck. At $24.99 at the time of writing this review this be Apple's price by five dollars. I will say that I like the new design as you can tell from the pictures gone is the big around mash that I believe would get clogged as the holder really small. I can't say for the longevity of these yet but the sound quality is really good at think they will last longer than the old version.So yes in conclusion I just want to say these may be a little bit more than buying a cheap pair but the longevity and sound quality is way worth it don't be fooled.Thanks for reading!,5.0,1,youre somebody uses iphone earbuds lot make sure buy official apple brand earbuds buy oem knockoffs truly suck time writing review apples price five dollars say like new design tell pictures gone big around mash believe would get clogged holder really small cant say longevity yet sound quality really good think last longer old versionso yes conclusion want say may little bit buying cheap pair longevity sound quality way worth dont fooledthanks reading
509,"Works great. Bought two pair, one for my wife and one for me.",5.0,1,works great bought two pair one wife one
510,"My original earpods were going out so I upgraded to this product.  They fit my ears nicer and work great.  If you are on the fence, get off and order this product.",5.0,1,original earpods going upgraded product fit ears nicer work great fence get order product
511,"I bought these thinking they were going to work great... NOT AT ALL! There's a reason they were so cheap, because they were either made cheap or just weren't a great pair. They cut in and out. They either aren't picked up by the phone or it's cord. My other buds work just fine, I think it's just these!",1.0,0,bought thinking going work great theres reason cheap either made cheap werent great pair cut either arent picked phone cord buds work fine think
512,"They are very comfortable,better then any other ones that I have bought..bought more sets to give as Christmas gifts. Love them ..",5.0,1,comfortablebetter ones boughtbought sets give christmas gifts love
513,"These Earpods DO NOT work with the IPOD shuffle 3rd generation as it previously stated it did. I had to contact Apple myself to find out if indeed it would work with Ipod 3rd generation and after a 45 minute phone call and search of their products now in stock, I found out that they no longer carry the old version of Apple Earphones which does work.(Amazon does still carry these new Apple Earphones- just put in &#34;Old Version&#34; along with description).",3.0,0,earpods work ipod shuffle generation previously stated contact apple find indeed would work ipod generation minute phone call search products stock found longer carry old version apple earphones workamazon still carry new apple earphones put along description
514,"these fit my ears best.  I wish they were less expensive, since my cats like to chew the cords.  I've gone through 2 pair so far due to cat-play :(  I like the audio volume control on the cord.  I use on my ipad & for talking on my phone hands free.",5.0,1,fit ears best wish less expensive since cats like chew cords ive gone pair far due catplay like audio volume control cord use ipad talking phone hands free
515,"These new buds fit better than the previous ones, have good features and great sound.They are now packaged in expensive looking little cases and it would be great if it was easy to quickly wind your phones in this unit but forget it.  You need a manual or patience to do it.",4.0,1,new buds fit better previous ones good features great soundthey packaged expensive looking little cases would great easy quickly wind phones unit forget need manual patience
516,Exelent . Muy bien es original y suena bien lo recomiendo a todos lo que tiene iphone 5 es muy bueno,5.0,1,exelent muy bien es original suena bien lo recomiendo todos lo que tiene iphone es muy bueno
